Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 27 s using 10275 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  biolink:increases_response_to  ?b  ?b  increased_activity_or_abundance_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.003378378	0.055555556	1	296	18	?a
?a  biolink:decreases_response_to  ?b  ?b  increased_activity_or_abundance_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.003861004	0.0625	1	259	16	?a
?b  increased_activity_or_abundance_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000016674	0.06	0.136363636	6	100	44	?a
?b  decreased_abundance_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.111111111	0.166666667	2	18	12	?a
?b  increased_activity_or_abundance_biolink:affects  ?a  ?a  increased_activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.047619048	0.076923077	2	42	26	?a
?b  decreased_synthesis_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.166666667	0.166666667	2	12	12	?a
?b  activity_biolink:affects  ?a  ?a  decreased_activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000011116	1	1	4	4	4	?a
?b  activity_biolink:affects  ?a  ?a  activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.142857143	0.5	1	7	2	?a
?b  activity_biolink:affects  ?a  ?a  increased_activity_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.25	0.25	1	4	4	?a
?b  activity_biolink:affects  ?a  ?a  increased_activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.2	0.2	1	5	5	?a
?a  decreased_activity_or_abundance_biolink:affects  ?b  ?b  increased_degradation_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000011116	1	1	4	4	4	?a
?a  increased_activity_biolink:affects  ?b  ?b  increased_degradation_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.4	0.5	2	5	4	?a
?a  decreased_activity_or_abundance_biolink:affects  ?b  ?b  decreased_uptake_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000011116	1	1	4	4	4	?a
?a  biolink:decreases_response_to  ?b  ?b  decreased_uptake_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	1	1	1	1	1	?a
?b  decreased_uptake_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.125	0.125	1	8	8	?a
?a  decreased_activity_or_abundance_biolink:affects  ?b  ?b  uptake_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000008337	1	1	3	3	3	?a
?a  biolink:directly_physically_interacts_with  ?b  ?b  uptake_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.666666667	0.666666667	2	3	3	?a
?a  increased_transport_biolink:affects  ?b  ?b  uptake_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.5	0.5	1	2	2	?a
?a  decreased_activity_or_abundance_biolink:affects  ?b  ?b  decreased_molecular_interaction_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000008337	1	1	3	3	3	?a
